"YEAR","AGE","n_obs","mean_wage","mean_wage_index","mean_wage_6yr_proj","mean_wage_npv_3pct","mean_wage_npv_7pct","exp_lifetime_mean_3pct","exp_lifetime_mean_7pct"
2021,22,2699,26926.1164241788,1,11.6350785956363,82.9703165276582,42.1413639030807,82.9703165276582,42.1413639030807
2021,23,4947,35315.5483019108,1.31157229455483,9.85096429199848,84.4294260234879,44.0212593762964,64.3726818369127,33.5637307673061
2021,24,6303,42975.8408737769,1.59606532916815,8.78231924750992,85.6113893408011,45.6993651774635,53.6390257818711,28.6325154379999
2021,25,7485,53424.6282648992,1.98411933690243,7.50308854581284,86.5357837319819,47.190530837676,43.6142030988318,23.784119210969
2021,26,8054,55961.1769760087,2.07832336807982,7.63224376812913,87.0882143269319,48.3708603058277,41.903110778855,23.2739818301316
2021,27,8560,61438.8564303454,2.28175706672557,7.35210442797485,87.5601876876176,49.5330145233902,38.3740184108515,21.7082770316441
2021,28,9045,64171.4300236319,2.38324120020546,7.40977320985437,87.8367835395188,50.5588454786312,36.8560192446934,21.2143216868995
2021,29,9311,69920.2727058087,2.59674553895275,7.17961928507393,88.0171486094927,51.5478965779155,33.8951765928476,19.8509618307478
2021,30,10405,72511.190083001,2.6929687497707,7.28551350651541,87.9830151626562,52.3777316116902,32.6713836431068,19.449810405765
2021,31,10443,76846.7901798783,2.85398714650406,7.20817391903707,87.848747805272,53.1626962622539,30.7810593726326,18.6275177613797
2021,32,10430,82220.804809648,3.0535708720258,6.99324477967207,87.544603478531,53.8303187538523,28.6695829726893,17.6286456119291
2021,33,10203,86034.4006092862,3.19520272637721,6.94494718963899,87.0257635847004,54.3311202335543,27.2363824887481,17.0039665355306
2021,34,9960,87962.2846395299,3.26680176427309,7.03215271039974,86.3454776840728,54.7154317326795,26.4311959875796,16.7489292833949
2021,35,10085,96425.4680149086,3.58111309094399,6.52529016177277,85.5710361973938,55.0500340661949,23.895094632389,15.3723249358996
2021,36,9795,98791.5064699587,3.66898459895416,6.47811647153748,84.4496207996433,55.0717454435184,23.0171641559126,15.0100781178576
2021,37,9548,102490.564192981,3.80636266212338,6.3853069929582,83.2040552867098,55.0009541036838,21.859203305734,14.4497408644192
2021,38,9429,103285.990088842,3.83590371748132,6.44727879452671,81.779623403324,54.7782128424696,21.3195193170857,14.280393064307
2021,39,9275,108548.555317516,4.03134836110429,6.21314250900032,80.2820312764179,54.5082707637375,19.9144365818157,13.5211015970861
2021,40,9176,109022.134256617,4.04893645036454,6.25897750922837,78.538203402773,54.0103069708175,19.3972427983408,13.3393812505886
2021,41,8888,107065.407456103,3.9762662305048,6.51037938876695,76.7239449609808,53.4586664568847,19.2954748282135,13.4444384148035
2021,42,8401,109570.233998982,4.06929214272397,6.4665823836846,74.9301090923903,52.9461682422265,18.4135487117502,13.0111494543089
2021,43,8315,116941.395135614,4.34304722201248,6.0929676865429,72.9866414581563,52.2982574264677,16.805399003775,12.0418348576541
2021,44,8158,114765.847506657,4.26225028885341,6.23030494603957,70.7029020632281,51.3120749187671,16.5881628885402,12.0387287093294
2021,45,7820,117062.624979862,4.34754953650664,6.14728977341145,68.4338713276059,50.3433123540076,15.7407916236405,11.5796983867054
2021,46,7785,116961.577243022,4.34379675852527,6.16270347314437,66.0089114448323,49.2154662147261,15.1961325803932,11.3300573094573
2021,47,7458,121734.74308801,4.52106576270674,5.87843588683916,63.5150681268962,48.0126863181349,14.0486937064304,10.6197717171426
2021,48,7818,121078.757000848,4.49670331560044,5.90141812902279,60.7638224351152,46.5360339943081,13.5129712081086,10.34892247235
2021,49,7930,120916.591962144,4.49068072265946,5.88899587933214,57.9551326931002,44.9820838262172,12.9056453291514,10.0167628482788
2021,50,8624,117271.93308326,4.35532295990347,6.06434019549143,55.0683855295539,43.3258013208068,12.64392699153,9.94778153530251
2021,51,8300,121654.275010123,4.51807728577157,5.80613573323965,52.23445444674,41.6984118461666,11.5612131317979,9.22923828184261
2021,52,7828,118143.218155629,4.38768132375524,5.99268714972041,49.1478684757975,39.7829579796226,11.2013304634744,9.06696613635877
2021,53,7495,116545.107231702,4.32832961856497,6.05532832431241,46.1029927666035,37.8729460217781,10.6514514441921,8.75001429173378
2021,54,7334,120005.246161493,4.4568345568666,5.81687724377871,43.0279030424797,35.892739551438,9.65436398714576,8.05341528689649
2021,55,7119,118457.532165745,4.39935452627598,5.84487835474877,39.7282005401815,33.6364183441914,9.03046124218843,7.64576215517335
2021,56,7209,116371.518875101,4.32188277885491,5.8606128257131,36.3887113943226,31.2836582851695,8.41964330276535,7.23843285112379
2021,57,7282,116818.610647969,4.33848717013903,5.73496993347782,33.0288334739318,28.8490997917567,7.61298401462678,6.64957591446149
2021,58,7195,119797.330185841,4.4491128352348,5.47460676870695,29.5510566929065,26.2263555051309,6.64201106766197,5.8947382267833
2021,59,6846,114268.650844002,4.24378506888546,5.63057932667394,25.8550021734019,23.3016496567888,6.09243912067209,5.49077045103711
2021,60,6743,112342.142812197,4.17223713373375,5.57551013898484,22.2595536176519,20.3919151090566,5.33516022799302,4.88752543430046
2021,61,6150,112771.61234741,4.18818705864854,5.37722529803197,18.6299359784357,17.3550554335954,4.44821010082755,4.14381095938814
2021,62,5709,106010.069229711,3.93707237834409,5.54856555161446,14.8750013873808,14.0885491611931,3.7781884501796,3.57843285754343
2021,63,5504,104761.414317596,3.89069900267992,5.39717678204527,11.2660668793078,10.8620801576485,2.895640827406,2.7918068578851
2021,64,5083,105689.385157508,3.92516260022566,5.09335701114933,7.59662891292669,7.45937783581638,1.93536668073062,1.90039970201172
2021,65,4256,101824.079264736,3.78161030208206,5.01087964043892,3.78161030208206,3.78161030208206,1,1
