"LCA_OCC_CODE","SOC_TRUC_RAW","SOC_2018_CORRECT"
"33-3021.00","33-3021","33-3021"
"33-3021.06","33-3021","33-3021"
"33-9021.00","33-9021","33-9021"
"35-1011","35-1011","35-1011"
"35-1011.00","35-1011","35-1011"
"35-1012.00","35-1012","35-1012"
"35-2014.00","35-2014","35-2014"
"35-3023.00","35-3023","35-3023"
"37-1011.00","37-1011","37-1011"
"39-1014.00","39-1014","39-1014"
"39-3091.00","39-3091","39-3091"
"39-9031.00","39-9031","39-9031"
"39-9032.00","39-9032","39-9032"
"39-9041.00","39-9041","39-9041"
"39-9099.00","39-9099","39-9099"
"40-9031","40-9031","41-9031"
"40848","40-848","11-2011"
"409743","40-9743","11-3021"
"41-1012.00","41-1012","41-1012"
"41-3011.00","41-3011","41-3011"
"41-3021.00","41-3021","41-3021"
"41-3031.00","41-3031","41-3031"
"41-3031.01","41-3031","41-3031"
"41-3031.02","41-3031","41-3031"
"41-3031.03","41-3031","41-3031"
"41-3091.00","41-3091","41-3091"
"41-3099","41-3099","41-3091"
"41-3099.00","41-3099","41-3091"
"41-3099.01","41-3099","41-3091"
"41-4011","41-4011","41-4011"
"41-4011.00","41-4011","41-4011"
"41-4012","41-4012","41-4012"
"41-4012.00","41-4012","41-4012"
"41-9012.00","41-9012","41-9012"
"41-9021.00","41-9021","41-9021"
"41-9031","41-9031","41-9031"
"41-9031.00","41-9031","41-9031"
"41-9091.00","41-9091","41-9091"
"413395","41-3395","11-3031"
"420700","42-0700","11-3051"
"43-1011.00","43-1011","43-1011"
"43-3021.00","43-3021","43-3021"
"43-3031.00","43-3031","43-3031"
"43-3061.00","43-3061","43-3061"
"43-3099.00","43-3099","43-3099"
"43-4011.00","43-4011","43-4011"
"43-4031.00","43-4031","43-4031"
"43-4051.03","43-4051","43-4051"
"43-4111.00","43-4111","43-4111"
"43-4161.00","43-4161","43-4161"
"43-5061.00","43-5061","43-5061"
"43-6011.00","43-6011","43-6011"
"43-6013.00","43-6013","43-6013"
"43-6014.00","43-6014","43-6014"
"43-9041.00","43-9041","43-9041"
"43-9061.00","43-9061","43-9061"
"43-9111.00","43-9111","43-9111"
"43-9111.01","43-9111","43-9111"
"43-9199.00","43-9199","43-9199"
"44501","44-501","11-2021"
"446267","44-6267","11-3121"
"44866","44-866","11-2022"
"45-2011.00","45-2011","45-2011"
"47-2111.00","47-2111","47-2111"
"47-4011.00","47-4011","47-4011"
"47-4011.01","47-4011","47-4011"
"47-4041.00","47-4041","47-4041"
"47-4099.00","47-4099","47-4099"
"48153","48-153","11-2032"
"49-1011.00","49-1011","49-1011"
"49-2098.00","49-2098","49-2098"
"49-3011.00","49-3011","49-3011"
"49-3023.02","49-3023","49-3023"
"49-3031.00","49-3031","49-3031"
"49-9041.00","49-9041","49-9041"
"49-9062.00","49-9062","49-9062"
"49-9063.00","49-9063","49-9063"
"51-1011.00","51-1011","51-1011"
"51-2022.00","51-2022","51-2022"
"51-3023.00","51-3023","51-3023"
"51-6092.00","51-6092","51-6092"
"51-8011.00","51-8011","51-8011"
"51-9012.00","51-9012","51-9012"
"51-9061.00","51-9061","51-9061"
"51-9071.00","51-9071","51-9071"
"51-9081.00","51-9081","51-9081"
"53-2011","53-2011","53-2011"
"53-2011.00","53-2011","53-2011"
"53-2012","53-2012","53-2012"
"53-6041.00","53-6041","53-6041"
"53-6051.00","53-6051","53-6051"
"53-6051.01","53-6051","53-6051"
"53-6051.08","53-6051","53-6051"
