age_band_chr,filings_pct,mean_gap_num,contribution_num,contribution_pct
21-29,38.61261670530735,-0.07324928838259,-0.028283466962534705,17.263148413040096
30-34,32.386897675292936,-0.1492372816724775,-0.048333325708653986,29.500816717750936
35-39,17.257111974434487,-0.2762721339059455,-0.047676591502308616,29.099971231337335
40-50,11.743373644965223,-0.33673340552864345,-0.039543861998644576,24.13606363787164
