alloc_method,weight_scheme,mean_savings_num,share_positive_pct,median_wage_num,implied_wage_gap_pct,term_savings_headline_num,term_savings_tenure_num
1. old unweighted lottery,eligible applicants,0.1306757409143647,69.29919212591528,101176.555236417,16.66757409143647,104730.43680703531,79170.55251816532
"2a. weighted lottery, old wage levels",eligible applicants,0.12161989316264062,68.5506961828564,101801.719846141,15.76198931626406,99344.62884364703,73802.58741394895
"2b. weighted lottery, new wage levels",eligible applicants,-0.11267051046441727,35.45256175264031,133673.353246379,-7.667051046441728,-60133.21410575197,-85366.35978795652
"3. EIG wage ranking, RPP and NPV adjusted",eligible applicants,-0.09089124649025117,40.60168205387632,139642.861801767,-5.489124649025117,-42834.645324388075,-70148.78078842194
1. old unweighted lottery,lottery winners,0.1311794000447072,69.41542352941177,101176.555236417,16.717940004470723,105136.92006102657,79568.29484738654
"2a. weighted lottery, old wage levels",lottery winners,0.05679148615101578,59.694478431372545,109008.529082325,9.279148615101578,56666.96342558566,30895.589022770386
"2b. weighted lottery, new wage levels",lottery winners,-0.13870715248289445,31.510426804319685,135253.23655807,-10.270715248289445,-80749.16707194019,-105738.92948394953
"3. EIG wage ranking, RPP and NPV adjusted",lottery winners,-0.13489916420820952,32.83025882352941,145055.229717894,-9.889916420820951,-79223.62261300583,-106302.0926353402
