universe_chr,n_obs_int,no_metro_pct,error_5_to_15_of_all_pct,error_5_to_15_of_with_metro_pct
"Borjas regression universe (full-time, year-round)",611729,18.495444878369344,17.869514114910363,21.92455880317778
"All college-educated, privately employed U.S.-born workers",752258,19.058354979275727,17.620018663809493,21.768792392714612
