pwmet_err_int,n_obs_int,error_band_chr,share_pct
0,113142,no metro identified,18.495444878369344
1,157896,under 0.1%,25.811429570937456
2,58727,0.1 to 0.9%,9.600166086616786
3,73293,1.0 to 1.9%,11.98128583081724
4,99358,2.0 to 4.9%,16.24215951834881
5,66711,5.0 to 9.9%,10.905319185456305
6,42602,10.0 to 14.9%,6.964194929454056
