alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,eligible applicants,0,100000,0.4044580395217256
1. old unweighted lottery,eligible applicants,0,105000,0.3877713983109897
1. old unweighted lottery,eligible applicants,0,110000,0.3716766672108237
1. old unweighted lottery,eligible applicants,0,115000,0.3562164497338275
1. old unweighted lottery,eligible applicants,0,120000,0.34131147149347213
1. old unweighted lottery,eligible applicants,0,125000,0.3268845285543074
1. old unweighted lottery,eligible applicants,0,130000,0.312971973259328
1. old unweighted lottery,eligible applicants,0,135000,0.29957906136896634
1. old unweighted lottery,eligible applicants,0,140000,0.28668823386541276
1. old unweighted lottery,eligible applicants,0,145000,0.2742268656954127
1. old unweighted lottery,eligible applicants,0,150000,0.26215099958989124
1. old unweighted lottery,eligible applicants,0,155000,0.25049408129705797
1. old unweighted lottery,eligible applicants,0,160000,0.2392526866093576
1. old unweighted lottery,eligible applicants,0,165000,0.22841104824549188
1. old unweighted lottery,eligible applicants,0,170000,0.21792150601426225
1. old unweighted lottery,eligible applicants,0,175000,0.20780126058617662
1. old unweighted lottery,eligible applicants,0,180000,0.19804752481555077
1. old unweighted lottery,eligible applicants,0,185000,0.18864763709770543
1. old unweighted lottery,eligible applicants,0,190000,0.1795476860718367
1. old unweighted lottery,eligible applicants,0,195000,0.17075237006924074
1. old unweighted lottery,eligible applicants,0,200000,0.16229390053075218
1. old unweighted lottery,eligible applicants,0,205000,0.15414747185978264
1. old unweighted lottery,eligible applicants,0,210000,0.14631173029985706
1. old unweighted lottery,eligible applicants,0,215000,0.13875008460977972
1. old unweighted lottery,eligible applicants,0,220000,0.13146938320466
1. old unweighted lottery,eligible applicants,0,225000,0.12449395388468383
1. old unweighted lottery,eligible applicants,0,230000,0.11779321768005953
1. old unweighted lottery,eligible applicants,0,235000,0.11136156048305214
1. old unweighted lottery,eligible applicants,0,240000,0.10517103120408673
1. old unweighted lottery,eligible applicants,0,245000,0.09924599745971577
1. old unweighted lottery,eligible applicants,0,250000,0.09356049897871019
1. old unweighted lottery,eligible applicants,0,255000,0.08814284519794709
1. old unweighted lottery,eligible applicants,0,260000,0.08298379872030197
1. old unweighted lottery,eligible applicants,0,265000,0.07803414651626694
1. old unweighted lottery,eligible applicants,0,270000,0.07328616421066042
1. old unweighted lottery,eligible applicants,0,275000,0.06878910464935716
1. old unweighted lottery,eligible applicants,0,280000,0.06448141172910538
1. old unweighted lottery,eligible applicants,0,285000,0.06040373796052606
1. old unweighted lottery,eligible applicants,0,290000,0.05651837724414996
