cut_variable,scenario_int,scenario_chr,mu_pi_num,quartile_int,cohort_share_pct,savings_lower_num,median_savings_num,savings_upper_num,wage_lower_num,median_wage_num,wage_upper_num,f1_share_pre_pct,f1_share_post_pct,mean_age_pre_num,mean_age_post_num,age_shift_num,hiring_rate_pct,volume_reduction_pct,fy2027_applications_num,fy2027_lost_num,cohort_mean_age_pre_num,cohort_mean_age_post_num,cohort_f1_share_pre_pct,cohort_f1_share_post_pct
payroll savings,1,"Borjas headline, current lottery",-0.1,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,79.74897940623897,29.337511115778952,29.970117667441315,0.6326065516623629,19.279802838830005,80.72019716116999,49241.835731318264,39748.10688809955,30.00160380567874,30.552927423402924,85.32812480613377,84.77939636624845
payroll savings,1,"Borjas headline, current lottery",-0.1,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,85.20916040638136,29.302298900656247,29.633181834239654,0.3308829335834069,49.29999512351784,50.70000487648216,49239.26409195732,24964.30929576629,30.00160380567874,30.552927423402924,85.32812480613377,84.77939636624845
payroll savings,1,"Borjas headline, current lottery",-0.1,3,24.99932913269409,0.08994226004090458,0.172232187324,0.2636980127267044,37207.959868935934,100150.944471231,282585.4575735125,86.98335338775439,86.49452800331048,29.8156548561997,29.978224833043964,0.16256997684426366,74.51995140770494,25.480048592295063,49238.65315000968,12546.03274881409,30.00160380567874,30.552927423402924,85.32812480613377,84.77939636624845
payroll savings,1,"Borjas headline, current lottery",-0.1,4,25.000086563523343,0.26369946591017307,0.382514281396867,1.4196704837040985,34910.71545044166,86369.2918264212,268001.860087746,84.42147633577875,84.2208668777538,31.550955008764525,31.6204895290945,0.06953452032997376,93.1151847764144,6.884815223585605,49240.14498499808,3390.0929980427713,30.00160380567874,30.552927423402924,85.32812480613377,84.77939636624845
payroll savings,1,"Borjas headline, current lottery",0,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,78.84509144365508,29.337511115778952,30.104835825730696,0.767324709951744,13.337464950311533,86.66253504968847,49241.835731318264,42674.22314976371,30.00160380567874,30.70760797051869,85.32812480613377,84.49077772736389
payroll savings,1,"Borjas headline, current lottery",0,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,84.73421316672224,29.302298900656247,29.739797791770776,0.43749889111452944,36.91599148548901,63.08400851451099,49239.26409195732,31062.101552252905,30.00160380567874,30.70760797051869,85.32812480613377,84.49077772736389
payroll savings,1,"Borjas headline, current lottery",0,3,24.99932913269409,0.08994226004090458,0.172232187324,0.2636980127267044,37207.959868935934,100150.944471231,282585.4575735125,86.98335338775439,86.23437099763481,29.8156548561997,30.060731219268522,0.2450763630688222,61.27767697665896,38.72232302334104,49238.65315000968,19066.350325089235,30.00160380567874,30.70760797051869,85.32812480613377,84.49077772736389
payroll savings,1,"Borjas headline, current lottery",0,4,25.000086563523343,0.26369946591017307,0.382514281396867,1.4196704837040985,34910.71545044166,86369.2918264212,268001.860087746,84.42147633577875,84.01616585801399,31.550955008764525,31.684549630668506,0.1335946219039812,85.37476162652298,14.625238373477018,49240.14498499808,7201.488579501659,30.00160380567874,30.70760797051869,85.32812480613377,84.49077772736389
payroll savings,1,"Borjas headline, current lottery",0.1,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,78.00196825116423,29.337511115778952,30.235441150943533,0.8979300351645811,9.125049267209766,90.87495073279024,49241.835731318264,44748.493960756976,30.00160380567874,30.862149731926085,85.32812480613377,84.17308588673234
payroll savings,1,"Borjas headline, current lottery",0.1,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,84.28287452859328,29.302298900656247,29.843443220618543,0.5411443199622958,26.84657692592912,73.15342307407087,49239.26409195732,36020.2071797486,30.00160380567874,30.862149731926085,85.32812480613377,84.17308588673234
