is_h1b_int,n_obs_int,salary_mean_num,log_salary_mean_num,age_mean_num,male_pct,bachelor_pct,master_pct,professional_pct,doctorate_pct,group,n_obs_borjas,salary_borjas,log_salary_borjas,age_borjas,male_borjas,bachelor_borjas,master_borjas,professional_borjas,doctorate_borjas
0,571623,127.09258182850351,11.534821616543454,35.801878669150284,55.13212872806228,71.85642219192303,20.86812913249347,4.621592715024233,2.653855960559268,Native,581648,127,11.53,35.8,55.1,71.8,20.9,4.6,2.7
1,340008,112.74124309319343,11.582459749640195,31.923631208677442,66.96401261146796,53.66873720618338,40.60757393943672,0.9585068586621491,4.765181995717748,H-1B,343397,112.6,11.58,31.9,67.2,52.3,41.8,0.9,5.1
