scenario_int,scenario_chr,f1_share_before_pct,f1_share_after_pct,mean_age_before_num,mean_age_after_num,f1_applications_before_num,f1_applications_lost_num,f1_loss_pct
1,"Borjas headline, current lottery",85.32812480613377,84.49077772736389,30.00160380567874,30.70760797051869,168062.18754787775,86143.5089015371,51.25692468866409
2,"Borjas headline, weighted lottery + old wage levels",83.02614265376482,82.16685052049169,30.382967255271435,31.161109432782425,163528.20584955395,92225.2985453776,56.39718118733898
3,"Borjas headline, weighted lottery + new wage levels",82.73910640484814,82.43538135559567,30.18509864621598,31.038842142334822,162962.85954658443,110452.99933346879,67.7780198756851
4,"Tenure-adjusted, current lottery",85.32812480613377,84.1822578505874,30.00160380567874,30.86259901177477,168062.18754787775,110228.35551544178,65.5878381233374
5,"Tenure-adjusted, weighted lottery + old wage levels",83.02614265376482,81.85384036836734,30.382967255271435,31.32712019573781,163528.20584955395,113490.93465818708,69.40144305294879
6,"Tenure-adjusted, weighted lottery + new wage levels",82.73910640484814,82.30462043899696,30.18509864621598,31.18723251410104,162962.85954658443,127276.52812688402,78.10155545932898
