comparison,fee_from_num,fee_to_num,multiple_num,log_points_num
Fee change in the estimation window (Table A.1),460,1380,3,1.0986122886681098
Fee change contemplated by the proposed rule,1380,104645,75.82971014492753,4.328490170272827
