scenario,mu_pi_num,fee_num,hiring_rate_num
baseline,-0.1,0,1
baseline,-0.1,5000,0.9791916072563
baseline,-0.1,10000,0.9588295569516007
baseline,-0.1,15000,0.938910437401473
baseline,-0.1,20000,0.9193885732100425
baseline,-0.1,25000,0.9002482882755697
baseline,-0.1,30000,0.8815253170513632
baseline,-0.1,35000,0.8630988388508508
baseline,-0.1,40000,0.8449607656290437
baseline,-0.1,45000,0.8271181266323149
baseline,-0.1,50000,0.8095129232253361
baseline,-0.1,55000,0.792187213242041
baseline,-0.1,60000,0.7750610867979578
baseline,-0.1,65000,0.7581883955671631
baseline,-0.1,70000,0.7414699948236511
baseline,-0.1,75000,0.7249465600809395
baseline,-0.1,80000,0.7086395320110115
baseline,-0.1,85000,0.6925157055128115
baseline,-0.1,90000,0.6765568751323496
baseline,-0.1,95000,0.6607288063810266
baseline,-0.1,100000,0.6450372932401593
baseline,-0.1,105000,0.6295223641796661
baseline,-0.1,110000,0.6141352556410434
baseline,-0.1,115000,0.5988919378367565
baseline,-0.1,120000,0.5837846462436178
baseline,-0.1,125000,0.5688284981529848
baseline,-0.1,130000,0.5540177289946118
baseline,-0.1,135000,0.539276105268111
baseline,-0.1,140000,0.5246733018046634
baseline,-0.1,145000,0.510248200042352
baseline,-0.1,150000,0.4959875061763251
baseline,-0.1,155000,0.4818644855415167
baseline,-0.1,160000,0.467874550010588
baseline,-0.1,165000,0.4539963177337003
baseline,-0.1,170000,0.4402811992658997
baseline,-0.1,175000,0.42674642949577646
baseline,-0.1,180000,0.41336209736241514
baseline,-0.1,185000,0.40015352579939306
baseline,-0.1,190000,0.3870938330862803
baseline,-0.1,195000,0.37421990070821853
baseline,-0.1,200000,0.3615235523870028
baseline,-0.1,205000,0.3489762593821321
baseline,-0.1,210000,0.3366501964659655
baseline,-0.1,215000,0.3245403343450743
baseline,-0.1,220000,0.31258726265264347
baseline,-0.1,225000,0.3008288334392133
baseline,-0.1,230000,0.28933942730759277
baseline,-0.1,235000,0.2780746041269615
baseline,-0.1,240000,0.26702001129385194
baseline,-0.1,245000,0.2561965306698666
baseline,-0.1,250000,0.24557119244253067
baseline,-0.1,255000,0.23520870097174182
baseline,-0.1,260000,0.22510290934330954
baseline,-0.1,265000,0.21521814192607241
baseline,-0.1,270000,0.20560795628338158
baseline,-0.1,275000,0.19621688313216154
baseline,-0.1,280000,0.18711668548975322
baseline,-0.1,285000,0.17827274652361122
baseline,-0.1,290000,0.1696638020281876
baseline,-0.1,295000,0.1613221453612856
baseline,-0.1,300000,0.153268158396273
baseline,-0.1,305000,0.145467841933131
baseline,-0.1,310000,0.1379215194936589
baseline,-0.1,315000,0.13065451401143502
baseline,-0.1,320000,0.12364614950236463
baseline,-0.1,325000,0.11689380838097925
baseline,-0.1,330000,0.11040687277946404
baseline,-0.1,335000,0.10416372555939868
baseline,-0.1,340000,0.09818080751041151
baseline,-0.1,345000,0.09247894167196063
baseline,-0.1,350000,0.08704330486341498
baseline,-0.1,355000,0.0818482800404696
baseline,-0.1,360000,0.07686486788546153
baseline,-0.1,365000,0.07215559633890965
baseline,-0.1,370000,0.06764302604644595
baseline,-0.1,375000,0.06336495023646503
baseline,-0.1,380000,0.0593264864356133
baseline,-0.1,385000,0.055489194371897116
baseline,-0.1,390000,0.051861338556739855
baseline,-0.1,395000,0.04842936048563564
baseline,-0.1,400000,0.04520693630738097
baseline,0,0,1
baseline,0,5000,0.9704836945013063
baseline,0,10000,0.9420923037105006
